Jilid,Page,PageRole,Slot,ObjectID,CanonicalKey,ObjectType,ArabicObject,PrimaryCompetency,ReviewCompetencies,SourceRef,Status,Notes
1,4,LETTER_REMAINING_AND_REVIEW,22,J1-P04-S22,3d2563b712f5ee4d755b,LETTER,ىَ,C0002,C0001,2:38,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,23,J1-P04-S23,d863cf83246409aad8c7,LETTER,ىِ,C0003,C0001,2:73,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,24,J1-P04-S24,01dd0d16a5a38bc1b4b7,LETTER,ىُ,C0004,C0001,2:196,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,5,TWO_LETTER_BASIC,1,J1-P05-S01,3a9c1ec72384d54655e3,WORD_FRAGMENT,ءَأَ,C0005,C0002|C0003|C0004,2:6,COMPOSED_CANDIDATE_V2,Fragmen dua huruf dari corpus Al-Quran; objek tidak diulang
1,5,TWO_LETTER_BASIC,2,J1-P05-S02,dc6edb5783ac254564c6,WORD_FRAGMENT,ءَةَ,C0005,C0002|C0003|C0004,5:31,COMPOSED_CANDIDATE_V2,Fragmen dua huruf dari corpus Al-Quran; objek tidak diulang
1,5,TWO_LETTER_BASIC,3,J1-P05-S03,949b410dd547d02c50e0,WORD_FRAGMENT,ءَتِ,C0005,C0002|C0003|C0004,8:48,COMPOSED_CANDIDATE_V2,Fragmen dua huruf dari corpus Al-Quran; objek tidak diulang
1,5,TWO_LETTER_BASIC,4,J1-P05-S04,23defdc75a091dbf94e8,WORD_FRAGMENT,ءَكَ,C0005,C0002|C0003|C0004,2:120,COMPOSED_CANDIDATE_V2,Fragmen dua huruf dari corpus Al-Quran; objek tidak diulang
1,5,TWO_LETTER_BASIC,5,J1-P05-S05,ead3bf73428a58155b51,WORD_FRAGMENT,ءَكُ,C0005,C0002|C0003|C0004,2:23,COMPOSED_CANDIDATE_V2,Fragmen dua huruf dari corpus Al-Quran; objek tidak diulang
1,5,TWO_LETTER_BASIC,6,J1-P05-S06,c182b832be4833804a37,WORD_FRAGMENT,ءَكِ,C0005,C0002|C0003|C0004,11:44,COMPOSED_CANDIDATE_V2,Fragmen dua huruf dari corpus Al-Quran; objek tidak diulang
1,5,TWO_LETTER_BASIC,7,J1-P05-S07,05a797be7c431cbb5638,WORD_FRAGMENT,ءَلُ,C0005,C0002|C0003|C0004,4:1,COMPOSED_CANDIDATE_V2,Fragmen dua huruf dari corpus Al-Quran; objek tidak diulang
1,5,TWO_LETTER_BASIC,8,J1-P05-S08,58d89a5852c5b9faa0ad,WORD_FRAGMENT,ءَنَ,C0005,C0002|C0003|C0004,2:170,COMPOSED_CANDIDATE_V2,Fragmen dua huruf dari corpus Al-Quran; objek tidak diulang
1,5,TWO_LETTER_BASIC,9,J1-P05-S09,a5fefab2750ab33e65e7,WORD_FRAGMENT,ءَنِ,C0005,C0002|C0003|C0004,19:43,COMPOSED_CANDIDATE_V2,Fragmen dua huruf dari corpus Al-Quran; objek tidak diulang
1,5,TWO_LETTER_BASIC,10,J1-P05-S10,5da8e0e7dc5f6172ab63,WORD_FRAGMENT,ءَهَ,C0005,C0002|C0003|C0004,7:4,COMPOSED_CANDIDATE_V2,Fragmen dua huruf dari corpus Al-Quran; objek tidak diulang
1,5,TWO_LETTER_BASIC,11,J1-P05-S11,d9c8a62361e4dc87767f,WORD_FRAGMENT,ءَهُ,C0005,C0002|C0003|C0004,2:89,COMPOSED_CANDIDATE_V2,Fragmen dua huruf dari corpus Al-Quran; objek tidak diulang
